stop_id,stop_src_id
B_8180,"['736E84A8060D2AB9', 'ECBD286CC9ED9549', '001713']"
B_1029,"['CB4B52222877C32F', 'DEB36380E32DCD53', '001714']"
B_1030,"['6B9496267BEFF02A', 'FA246A7F26F12EDD', '001717']"
B_1031,"['5ACB622335DF5AE7', 'B9D7AE7CB0C56556', '001715']"
B_8201,['DA29C9192B8D12DC']
B_1367,"['6491C7B3E4DAD76D', '001599']"
B_1368,"['A75AAAA36A33C563', '1107CC28F2631CCB', '001491', '1E27754A297197EC']"
B_1058,"['3EF537320681EE89', '001492']"
B_8334,"['7A95C545D0393126', '003146']"
B_1032,"['B7082198F517B1E8', '001716']"
B_9047,['405DE12B9200AD9F']
B_10236,"['145515B1D2C60CAF', 'F5098BFD784B8FAB', '002877']"
B_12980,"['173B9ED2BF5D995C', 'FC3C8F9B155E41DE', '8FD9863802F38CDB', '835DE31CDA7EBEC9', 'EC19750840FFEDDC', '63FEDEFACDBC761E', 'DBF574C877BF4AC5', '003450']"
B_95,"['657899B3C4E4F4A5', 'C1E7742780E828E9', 'F73D15363D3CA881', 'FDB7C76323B22686', '9B6A35DE470F8064', 'B3B4603C5AD48682']"
B_1366,"['681212A971005D69', '77C767D0C7AE0D82', '4B84BBB84FBC9E17', '1383B6EF75A7AA6D', '001598', '80C801672D7D560D', '9D676B8892807F9D']"
B_10362,['1472CA699A47EE46']
B_1085,"['F36DEB05146E271D', '70F41B968EA8E456', '001493', 'CB341BEEABF66D6E']"
B_4025,"['8D804CFD9C7B9042', 'DCFF4041D0C0ACF8', 'C88E34E485B43EFB', '25BD7B50919AA221', '4D5FBE4639E869E3', '77BEA79A5FF7A21A', '5E2EC7476D55E0BA', '7209CEE65796F4DD', 'F87373F646004131', 'D7E4D53EF0B874EB', '96363F113F394E8A', '001588', 'CB2BC86A32D7C830']"
B_965a,"['AB057A63C24E990E', '1F2E60EDB4254D30']"
B_4076,"['2946BA6CACA326DF', 'EA4A3876639F21B4', '001543']"
B_4027,"['6C34AE386C779E0B', '20D0C9CBE2BC9451', 'B0F64FFFBECE8AA4', '001545']"
B_9009,"['3C9C928E1674AB98', '5EEFE2E2583B576B', 'D7C7D86E923EEAE1', 'B046BFB6CCD3E7CE', 'FABC0445FC1C04D7', '001817', 'D9F1ED8B7D7C5AAD']"
B_193,"['A93947027435EBAD', '088B858E4B54D8AC', 'A8E63F70F386C05A', 'E50D6F218BC33CD0', '775FC7E2B86C4E3F', '003152']"
B_9053,"['01A56227D21AFB04', '05D8591BD5405ED4', '001551']"
B_751,"['221A18C37331E6FD', 'E6124D0EDF568E1E', '258EDF9D3C3FD200', '002817']"
B_4032,['3C50188583DABFC8']
B_4033,['EA59A314ABB9386E']
B_4034,"['AB0E13408BFA1055', '1D70AD74F1C97404']"
B_4035,"['6045969736940272', '003695']"
B_4077,"['38A53BACD13CD0C8', 'F851B0B122F38CCC', '003017']"
B_4078,"['2FA93329F924968F', '003531']"
B_4037,"['1E58DF8CAD59712E', '003019']"
B_820,"['0AB522DFFCD4CD4F', '7F25B423230F5BEE', '448C1B8AECA89A6E', 'E99D3F96A9F7B5EB', 'A46B6AC99CE8722E', '6AEFD1C261E8E4D8', 'EBE826ABDCE44F0C', 'BB172B3A5DAC85A4', '20A7DAD5A8294964', '001572']"
B_4081,"['7210357910C44570', 'D7A05B5BAF07A89B', 'A0EFE3E68568F194', '001573']"
B_8084,"['7D4F33EB9BDB69D8', '001574', 'A1C65E46464147A0', '7EC2A04EAD230873']"
B_823,"['100E6F60BAC1BDEB', '75957EA713E84A37', '001503']"
B_1150,"['23AF5995FEBCA8E6', 'F60097D67F33DC0C', '001504', 'BA03816A38B9DA7F']"
B_8318,"['8C09B3648DCDAF3C', '4BD5CE5106BB0697', '66B78B49B8E626C9', '060699911C9E300F', '001505', 'D9B53E4B3A192940']"
B_1151,"['D530D698BC181839', 'E5E15C5F7F0344AB', 'BE36EF30B86ADD1D', '6465DE9EE57F6C94', '6216EE509BD55B09', '9E256D7EE9FE68BC', '001506', 'BC7C325EE59235E4', '598F766175BE3EF3', '060699911C9E300F']"
B_1152,"['4D3C6D74F6AE8C7D', '598F766175BE3EF3', '3E73B73B12E25DCF', 'DF942A6B97EABDC4', '001797', '9E256D7EE9FE68BC', '5FE12AC5660F89D6']"
B_4088,"['9627881F2180C5AB', '2DDD1CB69E981669', '38B86AC474D1060D', '003458', '3F9AE21DC3A540B9', '0B8C52E4C34E3B64']"
B_4090,"['17A8BC1197F76422', '6530130BE25E909C', '003041']"
B_4056,"['A3ADFCDF8487ADB9', '265133DD348D564C', '6BBF595BBAD1DB2E', '1743738D38C82831', 'D6F16850DA906373']"
B_4011,"['9DBBC71CB1578A87', '003012']"
B_4012,"['312CD2A987AA2773', '003013']"
B_4013,"['40E8A4AA35AEB18A', '003690']"
B_4014,"['55EE74AF2D1A7DAA', '60F1DDDCB555E319', '003691']"
B_4015,"['65B934D14EA190F1', '002835']"
B_4016,"['F7CAA2D4FF9D61F7', '6F5585807DB07812', '003692']"
B_4018,"['456320D47FFB5B1A', 'E93113C9CA615B0C', '8E3A5C15E42020BB', '7BE18698D0E8FDCE', '001561']"
B_4021,"['5241470E37FA628F', '508D99EBC9AB3A9B', '77BFE3A169866C7D']"
B_4022,"['A6AED77D365E7011', 'A37F8CF766FCF9F3', 'E10A0960D4E103B1', 'CD7C28BDF71C00D7', '001568']"
B_7041,"['1DEB855D55528B03', '001570']"
B_4024a,"['11A1269F9B78F269', '452AD79BA74CF8F3', 'D2217D7746597D10']"
B_7006,['E507F6160447C129']
B_4038,"['FD45CEE7D2E4A9BF', '003020']"
B_4039,"['C6F9EC39B9F09F32', '003021']"
B_4010,"['DB581AD59964EA41', '003011']"
B_12746,"['9E376227A51AB6BE', '68DF2B78CD2B9C76', 'F3D86A2A72FF3582', 'B545DBB9B5AA7A78', 'F388A6F066DE4562', '001540', '1E5EADCD9F424F07']"
B_1286,"['89D32777124F4039', '8E8DB91C885F1230', '9CAF2FDA35EEF9E2', '243A28F74F73A045', '001589', '128', 'E507F6160447C129']"
B_9004a,"['940A31DA2A6051A9', '1F2E60EDB4254D30']"
B_968,"['38CFFC43FD4E0126', '0E9F8B5A3734D9CE', '4624AC39DB25D456', 'DF10BE627F25E7DD', '003334']"
B_9012,"['33506DF7A7D71391', 'B0668BFF6178BA0B', '001471', '64E7A52D975DF3FF']"
B_1322,"['3CB94742E4B5E3E5', '4CA486B230A34D3A', '001691']"
B_779,"['6F755DD7C8AEB1B4', '001632']"
B_9057,['50A5C817D1469A62']
B_10252,['F8746C57BC486530']
B_9114,"['B5C14166D9D87535', 'EF103F0ED7C9BE45']"
B_9117,"['10B9166A227FD69A', '2751781A6F757C5D', '003694']"
B_9172,['F2E57A05C35D0931']
B_9203,['641CFD3CA2D064DD']
B_9173,['2DA0A957F4311156']
B_9174,['0F64A2CFCB297E64']
B_7103,"['ADDE136AB30858A0', '23CF721FCA83F54B', '003065']"
B_9208,"['DE72952CE42D037C', '003313']"
B_13060,"['0BFA73880D34A273', '003314']"
B_13061,"['B5F6765A38C1741D', '003315']"
B_9197,['021BA4C3BAC4C747']
B_9200,['3715F32B3A14C278']
B_12747,['D35570D44FA8773C']
B_9204,"['43A2973FECD2636D', '003310']"
B_13059,"['4645CE23D819DEB0', '003311']"
B_9207,"['E693A3D0BCAF406F', '003312']"
B_7104,['937CA381A981989F']
B_7105,['0C8D3ED04A656619']
B_7106,['FD215BB86EDC1354']
B_7107,['C4DC1D050CDF793D']
B_7108,['A6DF150EE61DC8B3']
B_9116,['774D2D2447DEA064']
B_10251,['6239FCEBEDB88082']
B_773,"['6878FAB7D0006FEF', '001633']"
B_774,"['E13E697DA5AE4D59', '001634']"
B_12911,['83EB94899B6BBB4B']
B_1277,"['5F60283656DF3016', 'B7A8F179CD71B22E', '001401']"
B_1279,"['576538E1395C8508', '0840B3F75A7B00BD', '5D75A800F823B45D', '001587']"
B_4246,"['818CD5D5B9FD5B97', 'FF46CB6182028AC6', 'BE7FCE464060FF91', '8611CE1D516C6A6F', '9B45E50457274D2F', 'BD9C8BC4A5FCEC12', '593DE4298B444E66', '68A0FA3CC69206CC', '3BEDF164D4714445', '003288']"
B_13118,['6F8A295CA6E87003']
B_9002,['C91C122CFC3FF66B']
B_7051,"['8D5C58075D3C1003', '83CAC07FF3CA1BDA', '002875']"
B_7052,"['B0DDF2CD704116C8', '003061']"
B_7053,"['6C1DEF32B8CB92C4', '003062']"
B_7054,"['161B32AD4C6996AD', 'B5AF3107F64607ED', '003406']"
B_7055,"['6965D1D655C2DD5F', '003063']"
B_1385,"['CFCA63CAF4C25D2B', '0543B8455A70833F', '001642']"
B_4187,"['88E23CD2F1AB7AF9', '003279']"
B_4188,"['0B160DE955F3AE10', '003280']"
B_4189,"['830FACA208087E37', '003281']"
B_12404,"['63E6DD5119A301AD', '43EE0C39CD39BA06']"
B_10231,"['EF01999C9F909553', '003029']"
B_1413,"['B337148DB333E5C4', 'BF3D6019C5CA6D35', 'CF89BD775D2ABDC9', '001704']"
B_1414,"['711A39D02DB2B4D8', '001705']"
B_4144,"['5169C5ACEA8B1746', '87825C8E4FE99CD8', 'D80313EC29620E1D', '279C78D8C04A83BB', 'EDDE9311F49AC296', '001742', '5D1E6432755E4F5F', 'BA03816A38B9DA7F', '3BB1407BA61E0A9B']"
B_1389,"['55DFA7DF300865AF', '2CFA2F3EA6304C56', '7FB952821E3FCAD2', '49EF17D5925C652A', '90901971846A40E7', '9241EFF6313B41E8', '001698']"
B_1403,"['DB6981B82045B45C', '001709']"
B_1404,"['ACE23D880D07ABB1', '001710']"
B_10232,"['1DA57A1376E99AC6', 'A8054881B534B00A', '003027']"
B_8349,"['0D39977C225DD2D5', '003034']"
B_8343,"['AC30AF0DFC95D507', '003035']"
B_4117,"['17EB4B9A9DE2FAF6', '23362ED34834C5F0', '001796']"
B_4118,"['BAA5C48341F400C8', 'FAA80B89ED720399', '87154BA98253B43D', 'A2BB1A240289038A']"
B_4161,"['401EAF24B736C5B6', '319CA16456A9010D', '001451', 'C7D38CBF5ADEA564', '00ACB49D76C8C16F']"
B_7035,"['9B1BE296C2AC5F97', '1B7B9EDF492B37B6', 'A5C65B0A68257CF1', '3DE979ACCBF8988B', '1EC9ED318297A470']"
B_12447,"['6D1F582245EC568B', '002888']"
B_9055,"['6C9939568AAA34EA', '002899']"
B_726,"['5D3B3AE3CCFDDA96', '002900']"
B_9039,"['3E752B45D12458EF', '002901']"
B_9038,"['A5A6FF8443523FF9', '002902']"
B_13172,['FB9FA7AAA17E9E9D']
B_9164,"['53CB550BC9E1B80C', '0095D35FB96EC6DF']"
B_1349,"['9E16397100F502B9', '001460']"
